,Unnamed: 0,Corpus,Number of Topics,Alpha,Beta,Lambda,Top Words,CV Score,C_UCI Score
3185,3185,Compiled Data Challenges,20,0.91,0.91,0.91,"{0: 'people simplicity reluctant subtitle familiar difficulty scam careful rapport tried trying thing burden frail person sings stolen impatient using prefers', 1: 'simplicity reluctant subtitle think difficulty renominate quick scam careful rapport tried trying familiar burden frail sings stolen impatient patience prefers', 2: 'make senior look iphone catered unit uptrend impairment revise tell abusive gone show meet appreciated develop find tailor glove whatsapp', 3: 'senior simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient sometimes prefers forgetful alone', 4: 'like around people simplicity reluctant statistic subtitle able thing difficulty want true scam backward careful rapport tried trying familiar sometimes', 5: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail difficult sings stolen impatient senior know prefers forgetful', 6: 'tried simplicity reluctant subtitle sometimes mindful struggle difficulty thing vocabulary scam careful rapport trying know familiar burden frail entitled woodland', 7: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sometimes sings stolen impatient prefers forgetful figure word', 8: 'iphone catered phone uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically staff indian unsafe', 9: 'simplicity reluctant subtitle difficulty people scam teach reliant careful rapport tried trying conflict familiar burden frail difficult sings stolen impatient', 10: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 11: 'thing simplicity reluctant subtitle difficulty scam difficult somebody careful rapport tried trying familiar burden frail cannot sings stolen impatient prefers', 12: 'simplicity reluctant subtitle know difficulty scam careful rapport tried trying familiar difficult burden frail sings stolen impatient prefers forgetful tend', 13: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 14: 'pack even need find group think forgot staying pas using true especially like year absorb come friendly profile wrongly part', 15: 'maybe simplicity thing reluctant subtitle difficulty scam careful rapport tried trying need bored might familiar burden frail sings stolen impatient', 16: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 17: 'simplicity actually reluctant subtitle difficulty scam careful rapport tried trying familiar difficult burden frail sings stolen impatient prefers forgetful figure', 18: 'iphone catered uptrend impairment know revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe senior', 19: 'actually simplicity reluctant subtitle difficulty scam careful rapport tried trying difficult familiar burden frail sings people stolen impatient prefers woodland n'}",0.743323467401041,-14.294342741565645
2884,2884,Compiled Data Challenges,18,0.91,0.01,0.91,"{0: 'make teach many back understand quite manage patience cannot think deteriorate simplicity reluctant subtitle difficulty scam careful rapport tried trying', 1: 'phone even call already facing hearing educated equipped simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail', 2: 'think time something number sometimes want send patient iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg', 3: 'senior center come chinese simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers', 4: 'feel people right every person challenging family activity register around iphone catered uptrend impairment revise abusive meet appreciated develop tailor', 5: 'come tell password simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful', 6: 'help learn already actually going much right feel simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail', 7: 'like want sometimes give simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers', 8: 'senior well course totally alert payment simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen', 9: 'need thing really past least confidence many translator text iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove', 10: 'know press find problem place simplicity reluctant subtitle using difficulty scam careful rapport tried trying tell familiar burden frail sings', 11: 'actually think still others would anything mandarin happy group simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden', 12: 'know step sometimes wasted write find especially sometime problem much plant passed iphone catered uptrend impairment revise abusive meet appreciated', 13: 'people sometimes really activity watch say money actually past term simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar', 14: 'cannot sometimes time home covid vocal simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen', 15: 'thing know folk hand beyond gone long simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings', 16: 'wheelchair volunteer good take example able mentioned sometimes activity problem picture irregular simplicity reluctant subtitle difficulty scam careful rapport tried', 17: 'want group session time difficult exercise sings example interest using assist simplicity reluctant subtitle difficulty scam careful rapport tried trying n'}",0.6796949783667745,-14.195735003284202
2787,2787,Compiled Data Challenges,20,0.61,0.91,0.91,"{0: 'senior sometimes call phone find confidence wear fully click learning think say send patient account group recently iphone conducting mandarin', 1: 'personal nobody thing much way certain whatever speaker troublesome high senior simplicity reluctant subtitle contact student minute credit show press', 2: 'simplicity reluctant subtitle cannot difficulty remember scam careful rapport tried trying familiar burden frail simple sings stolen impatient prefers thing', 3: 'think feedback operate apply grow know take send family phone whatsapp aiya come language center one cheer activity back ambassador', 4: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 5: 'simplicity reluctant subtitle mindful interest difficulty scam careful people rapport tried trying familiar burden alone frail somehow tongue sings stolen', 6: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying easy familiar thing burden frail sings stolen impatient prefers forgetful elderly', 7: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail difficult somebody sings stolen impatient prefers forgetful wheelchair', 8: 'simplicity reluctant subtitle difficulty scam stolen careful rapport tried trying familiar burden frail sings impatient prefers forgetful figure word steal', 9: 'simplicity reluctant subtitle difficulty somebody guy scam careful rapport tried trying machine familiar burden frail sings stolen impatient prefers button', 10: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 11: 'simplicity reluctant subtitle scam difficulty careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful alone figure word', 12: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient touch prefers forgetful figure word', 13: 'center complicated thing studio want using mainly probably matter social year always lucky engaged neighbour think make call simplicity reluctant', 14: 'alone simplicity reluctant subtitle difficulty people scam careful rapport tried trying song familiar burden frail miss sings stolen impatient conversation', 15: 'exercise simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden know frail people like sings stolen impatient patience', 16: 'simplicity reluctant subtitle people difficulty scam careful rapport tried trying familiar like burden frail sings stolen impatient prefers forgetful figure', 17: 'know simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers patience forgetful figure', 18: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful keen figure word', 19: 'actually know senior careful cautious scared simplicity button many reluctant able subtitle house cause teach volunteer difficulty like everybody scam n'}",0.7329270163025384,-14.157259227356466
2784,2784,Compiled Data Challenges,18,0.61,0.91,0.91,"{0: 'people simplicity reluctant subtitle tactile difficulty scam careful rapport tried trying familiar burden frail home group forgot sings stolen impatient', 1: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail difficult someone sings stolen impatient prefers forgetful people', 2: 'friend center live need simplicity reluctant subtitle anxious consolation difficulty able busy scam skill topic careful right rapport tried bound', 3: 'make mean term learn samsung feel glad iphone inside mother find catered challenge payment travelator uptrend impairment even revise engage', 4: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful afraid figure word', 5: 'simplicity reluctant subtitle difficulty senior scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful thing figure', 6: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 7: 'together iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded actually blood medically indian unsafe', 8: 'well iphone catered need uptrend impairment revise community complain senior abusive educated heart meet appreciated develop tailor glove egg double', 9: 'simplicity reluctant subtitle difficulty scam topic careful rapport tried trying familiar burden frail sings stolen impatient senior still prefers forgetful', 10: 'thing simplicity reluctant subtitle wheelchair like somebody difficulty scam careful rapport tried trying frowned familiar burden frail need example sings', 11: 'think simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient press prefers forgetful thing', 12: 'simplicity reluctant subtitle difficulty scam think careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word', 13: 'sometimes come simplicity reluctant subtitle number difficulty scam careful rapport tried trying familiar burden frail phone example sings stolen impatient', 14: 'word simplicity reluctant subtitle call difficulty grandchild thing scam studio careful rapport tried trying familiar burden teach frail like sometimes', 15: 'simplicity difficulty reluctant subtitle scam careful rapport tried trying familiar burden frail sings somebody stolen impatient know prefers forgetful figure', 16: 'simplicity reluctant subtitle difficulty people scam careful rapport tried trying familiar burden frail example sings stolen impatient able kid prefers', 17: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail grandchild sings stolen impatient prefers forgetful figure word n'}",0.7502235072101655,-14.544648487197747
2484,2484,Compiled Data Challenges,18,0.61,0.01,0.91,"{0: 'come understand difficult give trouble home much tell simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail', 1: 'make help call right forget people learning especially camera mental simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar', 2: 'know cannot challenge tell used point probably lacking worked recognition appointment simplicity reluctant subtitle difficulty scam careful rapport tried trying', 3: 'want feel learn happy session english video parent simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail', 4: 'step press back already find sure payment simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings', 5: 'senior kind challenging mean spoken deteriorate simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen', 6: 'actually wheelchair going patient fourth overwhelming complains simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings', 7: 'teach learn really know good easy teacher catch said press together telecom term simplicity reluctant subtitle difficulty scam careful rapport', 8: 'senior something find case quite know later save boost streamline simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar', 9: 'sometimes even like better work translates clear ä½xa0èæŒèäªpicture profile elderly iphone catered uptrend impairment revise abusive meet appreciated develop tailor', 10: 'like know said iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian', 11: 'thing know money tend getting chinese simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen', 12: 'time know number every come office simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen', 13: 'sometimes volunteer language fear communicate delete iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded', 14: 'need back time course help open simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen', 15: 'phone know many complicated teaching already planning reach photo simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden', 16: 'center think group exercise maybe senior staff thing reserved certain please pushing aiya long simplicity reluctant subtitle difficulty scam careful', 17: 'people think quite basically simplicity reluctant subtitle difficulty cause scam help careful rapport tried trying familiar burden frail sings stolen n'}",0.68163197030052,-14.146697306148118
2784,2784,Compiled Data Challenges,18,0.61,0.91,0.91,"{0: 'people simplicity reluctant subtitle tactile difficulty scam careful rapport tried trying familiar burden frail home group forgot sings stolen impatient', 1: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail difficult someone sings stolen impatient prefers forgetful people', 2: 'friend center live need simplicity reluctant subtitle anxious consolation difficulty able busy scam skill topic careful right rapport tried bound', 3: 'make mean term learn samsung feel glad iphone inside mother find catered challenge payment travelator uptrend impairment even revise engage', 4: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful afraid figure word', 5: 'simplicity reluctant subtitle difficulty senior scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful thing figure', 6: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 7: 'together iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded actually blood medically indian unsafe', 8: 'well iphone catered need uptrend impairment revise community complain senior abusive educated heart meet appreciated develop tailor glove egg double', 9: 'simplicity reluctant subtitle difficulty scam topic careful rapport tried trying familiar burden frail sings stolen impatient senior still prefers forgetful', 10: 'thing simplicity reluctant subtitle wheelchair like somebody difficulty scam careful rapport tried trying frowned familiar burden frail need example sings', 11: 'think simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient press prefers forgetful thing', 12: 'simplicity reluctant subtitle difficulty scam think careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word', 13: 'sometimes come simplicity reluctant subtitle number difficulty scam careful rapport tried trying familiar burden frail phone example sings stolen impatient', 14: 'word simplicity reluctant subtitle call difficulty grandchild thing scam studio careful rapport tried trying familiar burden teach frail like sometimes', 15: 'simplicity difficulty reluctant subtitle scam careful rapport tried trying familiar burden frail sings somebody stolen impatient know prefers forgetful figure', 16: 'simplicity reluctant subtitle difficulty people scam careful rapport tried trying familiar burden frail example sings stolen impatient able kid prefers', 17: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail grandchild sings stolen impatient prefers forgetful figure word n'}",0.7502235072101655,-14.544648487197747
2385,2385,Compiled Data Challenges,20,0.31,0.91,0.91,"{0: 'simplicity reluctant subtitle patience difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient somebody prefers forgetful figure', 1: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 2: 'fit faster meetup support access must feel time email already even impressive severe senior teach handout iphone catered uptrend impairment', 3: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 4: 'iphone catered uptrend impairment revise abusive meet appreciated develop help tailor glove egg improve upgraded blood medically indian unsafe verification', 5: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 6: 'sometimes like thing something simplicity reluctant subtitle machine elderly might obey difficulty blast learn scam careful rapport tried trying wasting', 7: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 8: 'simplicity reluctant subtitle difficulty forgetful scam careful rapport tried trying familiar burden frail sings stolen impatient prefers figure word steal', 9: 'help training teach iphone catered uptrend impairment revise senior abusive meet allow appreciated develop tailor glove call egg improve sure', 10: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient exercise prefers forgetful figure word', 11: 'iphone catered appointment conduct uptrend impairment revise malay abusive meet appreciated develop tailor glove egg improve upgraded blood medically getting', 12: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 13: 'simplicity reluctant subtitle difficulty rapport scam careful tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 14: 'know senior come thing actually think need back step exercise place call make learn mean video phone find challenge interested', 15: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 16: 'simplicity reluctant subtitle difficulty people scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word', 17: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefer prefers forgetful figure word', 18: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden renominate frail sings stolen impatient prefers forgetful figure word', 19: 'participate iphone private catered feel know think tell uptrend patient impairment revise show becomes phone afternoon recognise part abusive profile n'}",0.7577767680851497,-13.997205170158605
2285,2285,Compiled Data Challenges,20,0.31,0.61,0.91,"{0: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 1: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail like sings stolen impatient prefers forgetful person figure', 2: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 3: 'simplicity reluctant subtitle trying difficulty scam careful rapport tried familiar burden frail sings stolen impatient prefers forgetful figure word steal', 4: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient easy difficult prefers forgetful figure', 5: 'educated sure claim time explain translates volunteer handphone member iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove', 6: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail importance sings stolen impatient prefers forgetful figure word', 7: 'want consent iphone catered work uptrend impairment join revise know think abusive manage project comfortable meet appreciated develop tailor glove', 8: 'know senior thing come sometimes think time like phone actually people need group teach center want back help make wheelchair', 9: 'simplicity reluctant subtitle sometimes difficulty even scam careful rapport tried trying familiar somehow burden frail sings stolen impatient prefers forgetful', 10: 'phone iphone like catered management uptrend impairment revise slot abusive password meet appreciated develop tailor glove egg know improve upgraded', 11: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail difficult sings stolen impatient prefers forgetful figure word', 12: 'uptrend cater friday iphone catered impairment revise senior abusive meet appreciated develop tailor glove egg improve upgraded blood medically thing', 13: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 14: 'word easy simplicity time reluctant subtitle difficulty member remember nothing scam careful rapport tried trying familiar certain slower burden frail', 15: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 16: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful people figure word', 17: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 18: 'time easy illiterate barrier pandemic everybody sometimes volunteering key good speak group moving class learning working learn offer term simplicity', 19: 'simplicity reluctant subtitle difficulty vocabulary scam careful rapport tried trying familiar burden frail persuade people trouble sings stolen impatient prefers n'}",0.7639141265649912,-13.88378875318366
1984,1984,Compiled Data Challenges,16,0.01,0.91,0.91,"{0: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 1: 'iphone catered uptrend impairment revise abusive meet appreciated develop encompass tailor glove egg improve upgraded blood medically indian unsafe verification', 2: 'senior know center come like sometimes another want simplicity reluctant subtitle call difficulty session scam group careful rapport tried trying', 3: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar figure burden frail sings stolen impatient prefers tend forgetful word', 4: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful example figure word', 5: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm', 6: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 7: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 8: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 9: 'phone correct tried people household income front bedroom internet nice money stuff control selling certain senior solution different session lift', 10: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 11: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail ignorance sings stolen impatient prefers forgetful figure word', 12: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful next figure word', 13: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm', 14: 'know thing like think actually need sometimes senior step people come back time want teach learn make cannot really simplicity', 15: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm n'}",0.7548083949799806,-13.335505815678278
1986,1986,Compiled Data Challenges,20,0.01,0.91,0.91,"{0: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm', 1: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful elderly figure word', 2: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm', 3: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 4: 'simplicity reluctant subtitle difficulty scam frail careful rapport tried trying familiar burden sings stolen impatient prefers forgetful figure word steal', 5: 'senior center know simplicity reluctant subtitle exercise difficulty scam careful rapport tried trying familiar volunteer burden frail stole difficult think', 6: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful importance figure word', 7: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 8: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm', 9: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm', 10: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 11: 'iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification atm', 12: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 13: 'technology simplicity reluctant subtitle alone lose front somewhere difficulty house wrong scam careful rapport tried trying familiar burden frail maybe', 14: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful figure word steal', 15: 'iphone catered uptrend impairment revise abusive repeat meet appreciated develop tailor glove egg improve upgraded blood medically indian unsafe verification', 16: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail sings stolen impatient prefers forgetful early figure word', 17: 'know senior thing actually think come like sometimes phone time need people learn step help even many make want back', 18: 'simplicity reluctant subtitle difficulty scam careful rapport tried trying familiar burden frail factor sings stolen impatient prefers forgetful figure word', 19: 'accept think minute like something frowned spent iphone catered uptrend impairment revise abusive meet appreciated develop tailor glove egg improve n'}",0.7925334084604063,-13.664392716873143
